RID,Reaction Link,Records,Reactants,Products,Reactants_List,Products_List,Reactants_SIDs_List,Products_SIDs_List,Products_Available,Status_50,Status_75,Status_100,ReactionOrder,ActivationEnergy,ReactantCID,ProductCID,FeatureVector
10055,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=3170830&r2=0&r3=0&r4=0&p0=74851&p1=7722841&p2=0&p3=0&p4=0&expandResults=true&,2,Â·C2H5 + HO2,C2H4 + H2O2,"['·C2H5', 'HO2']","['C2H4', 'H2O2']","[10935, 8230]","[3548, 7990]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 520535]","[6325, 784]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  1.  0.  0.]"
10056,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=3170830&r2=0&r3=0&r4=0&p0=74840&p1=7782447&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + HO2,C2H6 + O2,"['·C2H5', 'HO2']","['C2H6', 'O2']","[10935, 8230]","[3689, 8924]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 520535]","[6324, 977]","[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  0.  1.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  1.  0.  0.]"
10059,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=3170807&r2=0&r3=0&r4=0&p0=67663&p1=74851&p2=0&p3=0&p4=0&expandResults=true&,2,Â·C2H5 + Â·CCl3,CHCl3 + C2H4,"['·C2H5', '·CCl3']","['CHCl3', 'C2H4']","[10935, 10940]","[6645, 3548]",TRUE,TRUE,TRUE,FALSE,2,,"[123138, 122980]","[6212, 6325]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10066,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2669898&r2=0&r3=0&r4=0&p0=106989&p1=0&p2=0&p3=0&p4=0&expandResults=true&,2,Â·C2H5 + C2H3,1-C4H8,"['·C2H5', 'C2H3']",['1-C4H8'],"[10935, 3543]",[1554],TRUE,TRUE,TRUE,TRUE,2,,"[123138, 123166]",[7844],"[ 0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10067,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2669898&r2=0&r3=0&r4=0&p0=74851&p1=74851&p2=0&p3=0&p4=0&expandResults=true&,3,Â·C2H5 + C2H3,C2H4 + C2H4,"['·C2H5', 'C2H3']","['C2H4', 'C2H4']","[10935, 3543]","[3548, 3548]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 123166]","[6325, 6325]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10068,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2669898&r2=0&r3=0&r4=0&p0=74840&p1=74862&p2=0&p3=0&p4=0&expandResults=true&,2,Â·C2H5 + C2H3,C2H6 + C2H2,"['·C2H5', 'C2H3']","['C2H6', 'C2H2']","[10935, 3543]","[3689, 3537]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 123166]","[6324, 6326]","[ 0.  0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10071,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2597446&r2=0&r3=0&r4=0&p0=74840&p1=630080&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + HCO,C2H6 + CO,"['·C2H5', 'HCO']","['C2H6', 'CO']","[10935, 8152]","[3689, 6775]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 123370]","[6324, 281]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10074,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2597435&r2=0&r3=0&r4=0&p0=67561&p1=74851&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + (Â·)CH2OH,CH3OH + C2H4,"['·C2H5', '(·)CH2OH']","['CH3OH', 'C2H4']","[10935, 1209]","[6488, 3548]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 137654]","[887, 6325]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10075,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2597435&r2=0&r3=0&r4=0&p0=50000&p1=74840&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + (Â·)CH2OH,CH2O + C2H6,"['·C2H5', '(·)CH2OH']","['CH2O', 'C2H6']","[10935, 1209]","[5375, 3689]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 137654]","[712, 6324]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
 -1.  0.  0. -1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10084,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2264213&r2=0&r3=0&r4=0&p0=74851&p1=75467&p2=0&p3=0&p4=0&expandResults=true&,3,Â·C2H5 + Â·CF3,C2H4 + CHF3,"['·C2H5', '·CF3']","['C2H4', 'CHF3']","[10935, 10956]","[3548, 6736]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 137518]","[6325, 6373]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10085,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2229074&r2=0&r3=0&r4=0&p0=2143615&p1=0&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + Â·CH3,1-C3H7,"['·C2H5', '·CH3']",['1-C3H7'],"[10935, 11147]",[1553],TRUE,TRUE,TRUE,TRUE,2,85.64,"[123138, 3034819]",[123145],"[ 0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.]"
10086,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2229074&r2=0&r3=0&r4=0&p0=74986&p1=0&p2=0&p3=0&p4=0&expandResults=true&,18,Â·C2H5 + Â·CH3,C3H8,"['·C2H5', '·CH3']",['C3H8'],"[10935, 11147]",[3735],TRUE,TRUE,TRUE,TRUE,2,-6620.166667,"[123138, 3034819]",[6334],"[ 0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10087,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2229074&r2=0&r3=0&r4=0&p0=74840&p1=60528769&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + Â·CH3,C2H6 + Â·CH2,"['·C2H5', '·CH3']","['C2H6', '·CH2']","[10935, 11147]","[3689, 10972]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 3034819]","[6324, 123164]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.]"
10088,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2229074&r2=0&r3=0&r4=0&p0=74828&p1=74851&p2=0&p3=0&p4=0&expandResults=true&,14,Â·C2H5 + Â·CH3,CH4 + C2H4,"['·C2H5', '·CH3']","['CH4', 'C2H4']","[10935, 11147]","[6597, 3548]",TRUE,TRUE,TRUE,TRUE,2,-7883.5,"[123138, 3034819]","[297, 6325]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10090,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2154509&r2=0&r3=0&r4=0&p0=74840&p1=75070&p2=0&p3=0&p4=0&expandResults=true&,2,Â·C2H5 + CH3CH2OÂ·,C2H6 + CH3CHO,"['·C2H5', 'CH3CH2O·']","['C2H6', 'CH3CHO']","[10935, 6121]","[3689, 6256]",TRUE,TRUE,TRUE,FALSE,2,,"[123138, 137452]","[6324, 177]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  1.  0.  0.]"
10091,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2154509&r2=0&r3=0&r4=0&p0=64175&p1=74851&p2=0&p3=0&p4=0&expandResults=true&,2,Â·C2H5 + CH3CH2OÂ·,C2H5OH + C2H4,"['·C2H5', 'CH3CH2O·']","['C2H5OH', 'C2H4']","[10935, 6121]","[3669, 3548]",TRUE,TRUE,TRUE,FALSE,2,,"[123138, 137452]","[702, 6325]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  1.  0.  0.]"
10093,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2143682&r2=0&r3=0&r4=0&p0=50000&p1=74840&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + CH3OÂ·,CH2O + C2H6,"['·C2H5', 'CH3O·']","['CH2O', 'C2H6']","[10935, 6504]","[5375, 3689]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 123146]","[712, 6324]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  1.  0.  0.]"
10095,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2143615&r2=0&r3=0&r4=0&p0=74851&p1=74986&p2=0&p3=0&p4=0&expandResults=true&,3,Â·C2H5 + 1-C3H7,C2H4 + C3H8,"['·C2H5', '1-C3H7']","['C2H4', 'C3H8']","[10935, 1553]","[3548, 3735]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 123145]","[6325, 6334]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10096,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2143615&r2=0&r3=0&r4=0&p0=74840&p1=115071&p2=0&p3=0&p4=0&expandResults=true&,4,Â·C2H5 + 1-C3H7,C2H6 + CH3CH=CH2,"['·C2H5', '1-C3H7']","['C2H6', 'CH3CH=CH2']","[10935, 1553]","[3689, 6152]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 123145]","[6324, 8252]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10097,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2143580&r2=0&r3=0&r4=0&p0=2143682&p1=2154509&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + CH3O2Â·,CH3OÂ· + CH3CH2OÂ·,"['·C2H5', 'CH3O2·']","['CH3O·', 'CH3CH2O·']","[10935, 6384]","[6504, 6121]",TRUE,TRUE,TRUE,FALSE,2,,"[123138, 123144]","[123146, 137452]","[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0. -1.  0.  0.]"
10098,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2122487&r2=0&r3=0&r4=0&p0=2229074&p1=2932787&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + Â·C2H,Â·CH3 + CH2Câ‰¡CH,"['·C2H5', '·C2H']","['·CH3', 'CH2C#CH']","[10935, 10933]","[11147, 5162]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 123271]","[3034819, 137767]","[ 0.  1. -2.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
10099,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2122487&r2=0&r3=0&r4=0&p0=74851&p1=74862&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + Â·C2H,C2H4 + C2H2,"['·C2H5', '·C2H']","['C2H4', 'C2H2']","[10935, 10933]","[3548, 3537]",TRUE,TRUE,TRUE,TRUE,2,,"[123138, 123271]","[6325, 6326]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10101,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2025561&r2=0&r3=0&r4=0&p0=106978&p1=0&p2=0&p3=0&p4=0&expandResults=true&,29,Â·C2H5 + Â·C2H5,n-C4H10,"['·C2H5', '·C2H5']",['n-C4H10'],"[10935, 10935]",[10557],TRUE,TRUE,TRUE,TRUE,2,3671.925,"[123138, 123138]",[7843],"[ 0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10102,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2025561&r2=0&r3=0&r4=0&p0=74851&p1=2025561&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5 + Â·C2H5,C2H4 + Â·C2H5,"['·C2H5', '·C2H5']","['C2H4', '·C2H5']","[10935, 10935]","[3548, 10935]",TRUE,TRUE,TRUE,TRUE,2,4340,"[123138, 123138]","[6325, 123138]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.]"
10103,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=2025561&r2=0&r3=0&r4=0&p0=74840&p1=74851&p2=0&p3=0&p4=0&expandResults=true&,37,Â·C2H5 + Â·C2H5,C2H6 + C2H4,"['·C2H5', '·C2H5']","['C2H6', 'C2H4']","[10935, 10935]","[3689, 3548]",TRUE,TRUE,TRUE,TRUE,2,3342,"[123138, 123138]","[6324, 6325]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
10105,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=0&r2=0&r3=0&r4=0&p0=2229074&p1=60528769&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5,Â·CH3 + Â·CH2,['·C2H5'],"['·CH3', '·CH2']",[10935],"[11147, 10972]",TRUE,TRUE,TRUE,TRUE,1,,[123138],"[3034819, 123164]","[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0. -1.  0.  0.  0.  0.]"
10106,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=0&r2=0&r3=0&r4=0&p0=2025561&p1=0&p2=0&p3=0&p4=0&expandResults=true&,1,Â·C2H5,Â·C2H5,['·C2H5'],['·C2H5'],[10935],[10935],TRUE,TRUE,TRUE,TRUE,1,155000,[123138],[123138],"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.]"
10107,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025561&r1=0&r2=0&r3=0&r4=0&p0=74851&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,41,Â·C2H5,C2H4 + HÂ·,['·C2H5'],"['C2H4', 'H·']",[10935],"[3548, 8457]",TRUE,TRUE,TRUE,TRUE,1,145203.2258,[123138],"[6325, 5362549]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  1.  0.  0.  0.  0.]"
10109,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=60528769&r2=0&r3=0&r4=0&p0=115071&p1=2229074&p2=0&p3=0&p4=0&expandResults=true&,1,iso-C3H7 + Â·CH2,CH3CH=CH2 + Â·CH3,"['iso-C3H7', '·CH2']","['CH3CH=CH2', '·CH3']","[10406, 10972]","[6152, 11147]",TRUE,TRUE,TRUE,TRUE,2,,"[137284, 123164]","[8252, 3034819]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.]"
10115,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=17778802&r2=0&r3=0&r4=0&p0=75070&p1=2229074&p2=0&p3=0&p4=0&expandResults=true&,3,iso-C3H7 + OÂ·,CH3CHO + Â·CH3,"['iso-C3H7', 'O·']","['CH3CHO', '·CH3']","[10406, 9109]","[6256, 11147]",TRUE,TRUE,TRUE,TRUE,2,,"[137284, 159832]","[177, 3034819]","[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.]"
10116,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=17778802&r2=0&r3=0&r4=0&p0=67641&p1=12385136&p2=0&p3=0&p4=0&expandResults=true&,5,iso-C3H7 + OÂ·,(CH3)2CO + HÂ·,"['iso-C3H7', 'O·']","['(CH3)2CO', 'H·']","[10406, 9109]","[549, 8457]",TRUE,TRUE,TRUE,TRUE,2,,"[137284, 159832]","[180, 5362549]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  1.  0.  1.  0.  0.]"
10120,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=14332286&r2=0&r3=0&r4=0&p0=74986&p1=10102439&p2=0&p3=0&p4=0&expandResults=true&,1,iso-C3H7 + HNO,C3H8 + NO,"['iso-C3H7', 'HNO']","['C3H8', 'NO']","[10406, 8215]","[3735, 8814]",TRUE,TRUE,TRUE,TRUE,2,,"[137284, 945]","[6334, 145068]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1. -1.  0.  0.  0.]"
10123,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=12385136&r2=0&r3=0&r4=0&p0=115071&p1=1333740&p2=0&p3=0&p4=0&expandResults=true&,1,iso-C3H7 + HÂ·,CH3CH=CH2 + H2,"['iso-C3H7', 'H·']","['CH3CH=CH2', 'H2']","[10406, 8457]","[6152, 7937]",TRUE,TRUE,TRUE,TRUE,2,,"[137284, 5362549]","[8252, 783]","[-1.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  0.  0.]"
10124,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=12385136&r2=0&r3=0&r4=0&p0=74986&p1=0&p2=0&p3=0&p4=0&expandResults=true&,3,iso-C3H7 + HÂ·,C3H8,"['iso-C3H7', 'H·']",['C3H8'],"[10406, 8457]",[3735],TRUE,TRUE,TRUE,TRUE,2,,"[137284, 5362549]",[6334],"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1.  0.  0.  0.  0.]"
10130,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=10035106&r2=0&r3=0&r4=0&p0=74986&p1=10097322&p2=0&p3=0&p4=0&expandResults=true&,3,iso-C3H7 + HBr,C3H8 + BrÂ·,"['iso-C3H7', 'HBr']","['C3H8', 'Br·']","[10406, 8030]","[3735, 3399]",TRUE,TRUE,TRUE,TRUE,2,-5928.333333,"[137284, 260]","[6334, 5360770]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.]"
10131,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=10034852&r2=0&r3=0&r4=0&p0=74986&p1=14362448&p2=0&p3=0&p4=0&expandResults=true&,3,iso-C3H7 + HI,C3H8 + I,"['iso-C3H7', 'HI']","['C3H8', 'I']","[10406, 8191]","[3735, 8459]",TRUE,TRUE,TRUE,TRUE,2,-1334.666667,"[137284, 21844680]","[6334, 5360629]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.]"
10133,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=7803625&r2=0&r3=0&r4=0&p0=74986&p1=13765441&p2=0&p3=0&p4=0&expandResults=true&,1,iso-C3H7 + SiH4,C3H8 + SiH3,"['iso-C3H7', 'SiH4']","['C3H8', 'SiH3']","[10406, 9582]","[3735, 9554]",TRUE,TRUE,TRUE,FALSE,2,31900,"[137284, 23953]","[6334, 139580]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  1.  0.  0.  0.  0.]"
10138,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=7782447&r2=0&r3=0&r4=0&p0=115071&p1=3170830&p2=0&p3=0&p4=0&expandResults=true&,7,iso-C3H7 + O2,CH3CH=CH2 + HO2,"['iso-C3H7', 'O2']","['CH3CH=CH2', 'HO2']","[10406, 8924]","[6152, 8230]",TRUE,TRUE,TRUE,TRUE,2,4673.333333,"[137284, 977]","[8252, 520535]","[ 0.  1. -1.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  1.  0. -1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0. -1.  0.  0.]"
10143,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=7722841&r2=0&r3=0&r4=0&p0=74986&p1=3170830&p2=0&p3=0&p4=0&expandResults=true&,1,iso-C3H7 + H2O2,C3H8 + HO2,"['iso-C3H7', 'H2O2']","['C3H8', 'HO2']","[10406, 7990]","[3735, 8230]",TRUE,TRUE,TRUE,TRUE,2,17000,"[137284, 784]","[6334, 520535]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0. -1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0. -1.  0.  0.]"
10146,http://kinetics.nist.gov/kinetics/ReactionSearch?r0=2025550&r1=4630459&r2=0&r3=0&r4=0&p0=75285&p1=115071&p2=0&p3=0&p4=0&expandResults=true&,1,iso-C3H7 + iso-C4H9,iso-C4H10 + CH3CH=CH2,"['iso-C3H7', 'iso-C4H9']","['iso-C4H10', 'CH3CH=CH2']","[10406, 10425]","[10423, 6152]",TRUE,TRUE,TRUE,TRUE,2,,"[137284, 138305]","[6360, 8252]","[ 0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  0.  0.]"
